# curie_map:
#   g7ai: "https://w3id.org/sbom/req/g7ai/"
#   sbom: "https://w3id.org/sbom/"
#   spdx3-core: "https://spdx.org/rdf/3/terms/Core/"
#   spdx3-sw: "https://spdx.org/rdf/3/terms/Software/"
#   spdx3-ai: "https://spdx.org/rdf/3/terms/AI/"
#   spdx3-ds: "https://spdx.org/rdf/3/terms/Dataset/"
#   spdx3-sec: "https://spdx.org/rdf/3/terms/Security/"
#   spdx3-hw: "https://spdx.org/rdf/3/terms/Hardware/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/sbom/mapping/g7ai-spdx3"
# mapping_set_version: "0.1.0"
# mapping_set_title: "G7 SBOM for AI minimum elements <-> SPDX 3.1-dev"
# mapping_set_description: "Maps the 50 minimum-element concepts defined in 'SBOM for Artificial Intelligence - Minimum Elements' (G7 Cybersecurity Working Group, 2026-05-12) to classes and properties in the SPDX 3.1-dev specification. The see_also column cites the neutral bridge concept from sbom.ttl that both the G7 source concept and the SPDX target field share."
# license: "https://creativecommons.org/licenses/by/4.0/"
# creator_id:
#   - "orcid:0000-0000-0000-0000"
# mapping_date: "2026-06-15"
# subject_source: "https://w3id.org/sbom/req/g7ai/"
# object_source: "https://spdx.github.io/spdx-spec/v3.1-dev/"
# see_also:
#   - "https://spdx.github.io/spdx-spec/v3.1-dev/model/AI/AI/"
#   - "https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/KI/SBOM-for-AI_minimum-elements.pdf?__blob=publicationFile&v=4"
#   - "https://w3id.org/sbom/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment
g7ai:sbom-author	SBOM author	skos:exactMatch	spdx3-core:createdBy	createdBy	semapv:ManualMappingCuration	sbom:doc-author	CreationInfo.createdBy captures the agent(s) -- Person, Organization or Tool -- that authored the SBOM. Exact semantic match.
g7ai:sbom-version	SBOM version	skos:closeMatch	spdx3-core:version	version	semapv:ManualMappingCuration	sbom:doc-version	The Element.version property on the Sbom/SpdxDocument element carries the SBOM document version. Minor difference: version is a generic property, not SBOM-specific.
g7ai:sbom-data-format-name	SBOM data format name	skos:closeMatch	spdx3-core:specVersion	specVersion	semapv:ManualMappingCuration	sbom:doc-spec-version	The format name is implicit in the choice of SPDX serialisation; specVersion identifies the format family. No dedicated format-name field exists. Partial fit.
g7ai:sbom-data-format-version	SBOM data format version	skos:exactMatch	spdx3-core:specVersion	specVersion	semapv:ManualMappingCuration	sbom:doc-spec-version	CreationInfo.specVersion carries the explicit SPDX specification version (e.g. 3.1). Exact match for data-format version.
g7ai:sbom-author-signature	SBOM author signature	skos:narrowMatch	spdx3-core:verifiedUsing	verifiedUsing	semapv:ManualMappingCuration	sbom:doc-integrity	verifiedUsing + Hash supports cryptographic hash-based integrity but not native digital signatures (JWS/PGP). Detached signatures are attached externally. Partial/narrow fit; gap noted.
g7ai:sbom-tool-name	SBOM tool name	skos:exactMatch	spdx3-core:createdUsing	createdUsing	semapv:ManualMappingCuration	sbom:doc-tool	CreationInfo.createdUsing references Tool elements; the Tool.name property carries the tool name. Together these map exactly to SBOM tool name.
g7ai:sbom-tool-version	SBOM tool version	skos:closeMatch	spdx3-core:createdUsing	createdUsing	semapv:ManualMappingCuration	sbom:doc-tool	Tool version is carried by the Tool element (via Software.packageVersion) referenced by createdUsing. closeMatch because the version is one hop away via the Tool element.
g7ai:sbom-generation-context	SBOM generation context	skos:closeMatch	spdx3-sw:sbomType	sbomType	semapv:ManualMappingCuration	sbom:doc-lifecycle-stage	Software.Sbom.sbomType (SbomType vocabulary: build, analyzed, deployed, runtime, etc.) captures the lifecycle context in which the SBOM was generated. Close match. Note: G7/CISA2025 call this 'SBOM generation context'; FSCT3/SPDX call it 'SBOM type' -- same concept, bridge: sbom:doc-lifecycle-stage.
g7ai:sbom-timestamp	SBOM timestamp	skos:exactMatch	spdx3-core:created	created	semapv:ManualMappingCuration	sbom:doc-timestamp	CreationInfo.created is a mandatory xsd:dateTime; semantically equivalent to the SBOM creation timestamp.
g7ai:sbom-dependency-relationship	SBOM dependency relationship	skos:closeMatch	spdx3-core:Relationship	Relationship	semapv:ManualMappingCuration	sbom:doc-dependency-relationship	Dependency relationships between SBOM components are expressed via Relationship elements (DEPENDS_ON, CONTAINS, DESCRIBES, etc.). Close match at class level; the specific relationship type encodes the dependency kind.
